Country,City,Airport,Notes,Refs
Kazakhstan,Almaty,Almaty International Airport,Passenger + Cargo,[43][7]
Kazakhstan,Nur-Sultan,Nursultan Nazarbayev International Airport,Passenger,[7]
Kenya,Mombasa,Moi International Airport,Passenger,[44]
Kenya,Nairobi,Jomo Kenyatta International Airport,Passenger + Cargo,[1]
Kuwait,Kuwait City,Kuwait International Airport,Passenger + Cargo,[1]
Lebanon,Beirut,Beirut–Rafic Hariri International Airport,Passenger + Cargo,[1][2]
Libya,Tripoli,Tripoli International Airport,Terminated,[1]
Luxembourg,Luxembourg City,Luxembourg Airport,Cargo,[2][45][46]
Malaysia,Johor Bahru,Senai International Airport Cargo,Terminated,[47]
Malaysia,Kuala Lumpur,Kuala Lumpur International Airport,Passenger,[1]
Malaysia,Langkawi,Langkawi International Airport,Passenger,[1][48]
Malaysia,Penang,Penang International Airport,Passenger,[1]
Macau SAR,Macau,Macau International Airport,Cargo,[1][49]
Maldives,Malé,Velana International Airport,Passenger,[1]
Malta,Valletta,Malta International Airport,Passenger,[50]
Mexico,Guadalajara,Guadalajara International Airport,Cargo,[51]
Mexico,Mexico City,Mexico City International Airport,Cargo,[2]
Morocco,Casablanca,Mohammed V International Airport,Passenger + Cargo,[1]
Morocco,Marrakesh,Marrakesh Menara Airport,Passenger,[52]
Morocco,Rabat,Rabat–Salé Airport,Passenger,[53]
Mozambique,Maputo,Maputo International Airport,Passenger,[54]
Myanmar,Yangon,Yangon International Airport,Passenger + Cargo,[1]
Namibia,Windhoek,Hosea Kutako International Airport,Passenger,[24]
Nepal,Kathmandu,Tribhuvan International Airport,Passenger,[1]
Netherlands,Amsterdam,Amsterdam Airport Schiphol,Passenger + Cargo,[1][2][55]
Netherlands,Maastricht,Maastricht Aachen Airport,Cargo,[1]
New Zealand,Auckland,Auckland Airport,Passenger,[56]
Nigeria,Lagos,Murtala Muhammed International Airport,Passenger + Cargo,[1]
North Macedonia,Skopje,Skopje International Airport,Passenger,[57]
Norway,Oslo,Oslo Gardermoen Airport,Passenger + Cargo,[1]
Norway,Stavanger,Stavanger Airport Cargo,Terminated,[58]
Oman,Muscat,Muscat International Airport,Passenger + Cargo,[1]
Oman,Salalah,Salalah International Airport,Passenger,[59]
Oman,Sohar,Sohar Airport,Passenger,[25]
Pakistan,Faisalabad,Faisalabad International Airport,Passenger,[60]
Pakistan,Islamabad,Benazir Bhutto International Airport,Airport Closed,[1]
Pakistan,Islamabad,Islamabad International Airport,Passenger,[1]
Pakistan,Karachi,Jinnah International Airport,Passenger + Cargo,[1][2]
Pakistan,Lahore,Allama Iqbal International Airport,Passenger + Cargo,[1][2]
Pakistan,Multan,Multan International Airport,Passenger,[60]
Pakistan,Peshawar,Bacha Khan International Airport,Passenger,[1]
Pakistan,Sialkot,Sialkot International Airport,Passenger + Cargo,[1][2][60]
Peru,Lima,Jorge Chávez International Airport Cargo,Terminated,[61]
Philippines,Angeles,Clark International Airport,Passenger,[62]
Philippines,Cebu,Mactan–Cebu International Airport,Passenger,[7][63]
Philippines,Davao,Francisco Bangoy International Airport,Passenger,[53]
Philippines,Manila,Ninoy Aquino International Airport,Passenger,[1]
Poland,Warsaw,Warsaw Chopin Airport,Passenger,[1]
Portugal,Lisbon,Lisbon Airport,Passenger,[64]
Qatar,Doha,Doha International Airport,Cargo & Charter,[1]
Qatar,Doha,Hamad International Airport,Hub,[1]
Romania,Bucharest,Henri Coandă International Airport,Passenger,[1]
Russia,Moscow,Domodedovo International Airport,Passenger,[1]
Russia,Saint Petersburg,Pulkovo Airport,Passenger,[65]
Russia,Yekaterinburg,Koltsovo International Airport Cargo,Terminated,[66]
Rwanda,Kigali,Kigali International Airport,Passenger,[1]
Saudi Arabia,Abha,Abha Regional Airport,Suspended,[1][2][67][68]
Saudi Arabia,Dammam,King Fahd International Airport,Suspended,[1]
Saudi Arabia,Gassim,Prince Nayef bin Abdulaziz International Airport,Suspended,[69]
Saudi Arabia,Hofuf,Al-Ahsa Domestic Airport,Suspended,[70]
Saudi Arabia,Jeddah,King Abdulaziz International Airport,Suspended,[1]
Saudi Arabia,Medina,Prince Mohammad Bin Abdulaziz International Airport,Terminated,[1]
Saudi Arabia,Riyadh,King Khalid International Airport,Suspended,[1]
Saudi Arabia,Ta’if,Ta’if Regional Airport,Suspended,[71]
Saudi Arabia,Tabuk,Tabuk Regional Airport,Suspended,[1]
Saudi Arabia,Yanbu,Yanbu Airport,Suspended,[72]
Serbia,Belgrade,Belgrade Nikola Tesla Airport,Passenger,[1]
Seychelles,Mahé,Seychelles International Airport,Passenger,[24]
Singapore,Singapore,Singapore Changi Airport,Passenger,[1]
Somalia,Mogadishu,Aden Adde International Airport,Passenger,[53]
South Africa,Cape Town,Cape Town International Airport,Passenger,[1]
South Africa,Durban,King Shaka International Airport,Passenger,[73]
South Africa,Johannesburg,O. R. Tambo International Airport,Passenger + Cargo,[1]
South Korea,Seoul,Incheon International Airport,Passenger + Cargo,[1]
Spain,Barcelona,Barcelona–El Prat Airport,Passenger,[1]
Spain,Madrid,Adolfo Suárez Madrid–Barajas Airport,Passenger + Cargo,[1]
Spain,Málaga,Málaga Airport,Seasonal,[1]
Spain,Zaragoza,Zaragoza Airport,Cargo,[1][74]
Sri Lanka,Colombo,Bandaranaike International Airport,Passenger,[1][2]
Sudan,Khartoum,Khartoum International Airport,Cargo,[1][2]
Sweden,Gothenburg,Göteborg Landvetter Airport,Passenger,[75]
Sweden,Stockholm,Stockholm Arlanda Airport,Passenger,[1]
SwitzerlandFranceGermany,BaselMulhouseFreiburg,EuroAirport Basel Mulhouse Freiburg,Cargo,[1]
Switzerland,Geneva,Geneva Airport,Passenger,[1]
Switzerland,Zürich,Zürich Airport,Passenger,[1]
Syria,Aleppo,Aleppo International Airport,Terminated,[76]
Syria,Damascus,Damascus International Airport,Terminated,[1]
Tanzania,Dar es Salaam,Julius Nyerere International Airport,Passenger,[1]
Tanzania,Kilimanjaro,Kilimanjaro International Airport,Passenger,[37]
Tanzania,Zanzibar,Abeid Amani Karume International Airport,Passenger,[77]
Thailand,Bangkok,Suvarnabhumi International Airport,Passenger,[1]
Thailand,Chiang Mai,Chiang Mai International Airport,Passenger,[12]
Thailand,Krabi,Krabi International Airport,Passenger,[24][78]
Thailand,Pattaya,U-Tapao International Airport,Terminated,[79]
Thailand,Phuket,Phuket International Airport,Passenger,[1]
Tunisia,Tunis,Tunis–Carthage International Airport,Passenger,[1][2]
Turkey,Adana,Adana Şakirpaşa Airport,Passenger,[80]
Turkey,Ankara,Ankara Esenboğa Airport,Passenger,[1][81]
Turkey,Antalya,Antalya Airport,Seasonal,[1]
Turkey,Bodrum,Milas–Bodrum Airport,Seasonal,[1]
Turkey,Istanbul,Istanbul Arnavutköy International Airport,Passenger,[1]
Turkey,Istanbul,Istanbul Atatürk International Airport,Cargo,[1]
Turkey,Istanbul,Istanbul Sabiha Gökçen International Airport,Passenger,[82]
Turkey,İzmir,İzmir Adnan Menderes Airport,Passenger,[53]
Turkey,Trabzon,Trabzon Airport,Passenger,[7]
Uganda,Entebbe,Entebbe International Airport,Passenger + Cargo,[1]
Ukraine,Kiev,Boryspil International Airport,Passenger,[12]
United Arab Emirates,Abu Dhabi,Abu Dhabi International Airport,Suspended,[1][83]
United Arab Emirates,Dubai,Al Maktoum International Airport,Suspended,[84]
United Arab Emirates,Dubai,Dubai International Airport,Suspended,[1][2]
United Arab Emirates,Ras Al Khaimah,Ras Al Khaimah International Airport,Suspended,[85]
United Arab Emirates,Sharjah,Sharjah International Airport,Suspended,[84]
United Kingdom,Birmingham,Birmingham Airport,Passenger,[86]
United Kingdom,Cardiff,Cardiff Airport,Passenger,[87]
United Kingdom,Edinburgh,Edinburgh Airport,Passenger,[88]
United Kingdom,London,London Gatwick International Airport,Passenger,
United Kingdom,London,London Heathrow International Airport,Passenger + Cargo,[1]
United Kingdom,London,London Stansted Airport,Cargo,[1][89][90]
United Kingdom,Manchester,Manchester Airport,Passenger,[1]
United States,Atlanta,Hartsfield–Jackson Atlanta International Airport,Passenger + Cargo,[45][91]
United States,Boston,Logan International Airport,Passenger,[91]
United States,Chicago,O'Hare International Airport,Passenger + Cargo,[2][92][93]
United States,Dallas,Dallas/Fort Worth International Airport,Passenger + Cargo,[94]
United States,Houston,George Bush Intercontinental Airport,Passenger,[1]
United States,Los Angeles,Los Angeles International Airport,Passenger + Cargo,[91][95]
United States,Miami,Miami International Airport,Passenger + Cargo,[96]
United States,Newark,Newark Liberty International Airport,Terminated,[97]
United States,New York City,John F. Kennedy International Airport,Passenger + Cargo,[1]
United States,Philadelphia,Philadelphia International Airport,Passenger,[98]
United States,Pittsburgh,Pittsburgh International Airport,Cargo,[99]
United States,"Washington, D.C.",Washington Dulles International Airport,Passenger,[1]
Vietnam,Da Nang,Da Nang International Airport,Passenger,[100]
Vietnam,Hanoi,Noi Bai International Airport,Passenger + Cargo,[1]
Vietnam,Ho Chi Minh City,Tan Son Nhat International Airport,Passenger + Cargo,[1]
Yemen,Sana'a,Sana'a International Airport,Terminated,[1][2]
