Country,City,Airport,Notes,Refs
Greece,Santorini,Santorini (Thira) International Airport,Seasonal,[36]
Greece,Thessaloniki,Thessaloniki Airport,Seasonal,
Greece,Zakynthos,Zakynthos International Airport,Seasonal,[17]
Grenada,St. George,Maurice Bishop International Airport,Passenger,
Guernsey,Saint Peter Port,Guernsey Airport,Terminated,[5]
Hong Kong SAR,Hong Kong,Hong Kong International Airport,Passenger + Cargo,[8]
Hungary,Budapest,Budapest Ferenc Liszt International Airport,Passenger,
Iceland,Reykjavík,Keflavík International Airport,Passenger,[37]
India,Bangalore,Kempegowda International Airport,Passenger,
India,Chennai,Chennai International Airport,Passenger + Cargo,[8]
India,Delhi,Indira Gandhi International Airport,Passenger + Cargo,[8]
India,Hyderabad,Rajiv Gandhi International Airport,Passenger,
India,Kolkata,Netaji Subhash Chandra Bose International Airport,Terminated,[5]
India,Mumbai,Chhatrapati Shivaji Maharaj International Airport,Passenger + Cargo,[8]
Indonesia,Jakarta,Soekarno–Hatta International Airport,Terminated,[5]
Iran,Tehran,Tehran Imam Khomeini International Airport,Terminated,[38]
Iraq,Baghdad,Baghdad International Airport,Terminated,[21]
Ireland,Cork,Cork Airport,Terminated,[5]
Ireland,Dublin,Dublin Airport,Passenger,[39]
Ireland,Shannon,Shannon Airport,Terminated,[5]
Ireland,Waterford,Waterford Airport,Terminated,[4]:60
Israel,Tel Aviv,Ben Gurion Airport,Passenger,
Italy,Bari,Bari Karol Wojtyła Airport,Seasonal,
Italy,Bergamo,Orio al Serio International Airport,Passenger,[40]
Italy,Bologna,Bologna Guglielmo Marconi Airport,Passenger,
Italy,Brindisi,Brindisi Airport,Seasonal,[17]
Italy,Cagliari,Cagliari Elmas Airport,Seasonal,
Italy,Catania,Catania–Fontanarossa Airport,Passenger,
Italy,Genoa,Genoa Cristoforo Colombo Airport,Passenger,
Italy,Milan,Milan Linate Airport,Passenger,
Italy,Milan,Milan Malpensa Airport,Passenger,
Italy,Naples,Naples International Airport,Passenger,
Italy,Palermo,Falcone Borsellino Airport,Seasonal,[41]
Italy,Pisa,Pisa International Airport,Passenger,
Italy,Rome,Leonardo da Vinci–Fiumicino Airport,Passenger,
Italy,Turin,Turin Airport,Passenger,
Italy,Venice,Venice Marco Polo Airport,Passenger,
Italy,Verona,Verona Airport,Passenger,
Ivory Coast,Abidjan,Félix-Houphouët-Boigny International Airport,Terminated,[42]:99
Jamaica,Kingston,Norman Manley International Airport,Passenger,
Jamaica,Montego Bay,Sangster International Airport,Resumes 13 October 2020,[5][43]
Japan,Nagoya,Nagoya Komaki Airport,Terminated,[5]
Japan,Osaka,Kansai International Airport,Passenger,[5][44]
Japan,Tokyo,Haneda Airport,Passenger,
Japan,Tokyo,Narita International Airport,Passenger,
Jersey,Jersey,Jersey Airport,Passenger,
Jordan,Amman,Queen Alia International Airport,Passenger,[45]
Kazakhstan,Almaty,Almaty International Airport,Terminated,[46]
Kenya,Nairobi,Jomo Kenyatta International Airport,Passenger + Cargo,[8]
Kosovo,Pristina,Pristina International Airport,Begins 4 July 2020,[47]
Kuwait,Kuwait City,Kuwait International Airport,Passenger,
Kyrgyzstan,Bishkek,Manas International Airport,Terminated,[5]
Latvia,Riga,Riga International Airport,Terminated,[5]
Lebanon,Beirut,Beirut–Rafic Hariri International Airport,Terminated,[48]
Liberia,Monrovia,Roberts International Airport,Terminated,[49]
Libya,Tripoli,Tripoli International Airport,Terminated,[50]
Lithuania,Vilnius,Vilnius International Airport,Terminated,[4]:60
Luxembourg,Luxembourg City,Luxembourg Airport,Passenger,
Malawi,Lilongwe,Lilongwe International Airport,Terminated,[5][19]
Malaysia,Kuala Lumpur,Kuala Lumpur International Airport,Passenger,[51]
Maldives,Malé,Velana International Airport,Seasonal,
Malta,Valletta,Malta International Airport,Passenger,[52]
Mauritius,Mahébourg,Sir Seewoosagur Ramgoolam International Airport,Passenger,
Mexico,Cancún,Cancún International Airport,Passenger,
Mexico,Mexico City,Mexico City International Airport,Passenger,
Montenegro,Podgorica,Podgorica Airport,Begins 4 July 2020,[53]
Morocco,Agadir,Agadir–Al Massira Airport,Terminated,[32][33][54]
Morocco,Casablanca,Mohammed V International Airport,Terminated,[55]
Morocco,Marrakech,Marrakesh Menara Airport,Passenger,
Morocco,Tangier,Tangier Ibn Battouta Airport,Terminated,[5]
Namibia,Windhoek,Hosea Kutako International Airport,Terminated,[5]
Netherlands,Amsterdam,Amsterdam Airport Schiphol,Passenger,
Netherlands,Eindhoven,Eindhoven Airport,Terminated,[4]:60
Netherlands,Rotterdam,Rotterdam The Hague Airport,Passenger,[18]
New Zealand,Auckland,Auckland Airport,Terminated,[56]
New Zealand,Christchurch,Christchurch International Airport,Terminated,[57]
Nigeria,Abuja,Nnamdi Azikiwe International Airport,Passenger,
Nigeria,Kano,Mallam Aminu Kano International Airport,Terminated,[5]
Nigeria,Lagos,Murtala Muhammed International Airport,Passenger,
Norway,Bergen,Bergen Airport,Terminated,[32][33][58]
Norway,Geilo,Fagernes Airport,Terminated,[5]
Norway,Haugesund,Haugesund Airport,Terminated,[4]:60
Norway,Oslo,Oslo Gardermoen Airport,Passenger,
Norway,Stavanger,Stavanger Airport,Terminated,[32][33][58]
Oman,Muscat,Muscat International Airport,Passenger,
Pakistan,Islamabad,Islamabad International Airport,Passenger,[59]
Pakistan,Karachi,Jinnah International Airport,Terminated,[60]
Peru,Lima,Jorge Chávez International Airport,Seasonal,[61][62]
Philippines,Manila,Ninoy Aquino International Airport,Terminated,[19][63]
Poland,Kraków,Kraków John Paul II International Airport,Passenger,[64]
Poland,Warsaw,Warsaw Chopin Airport,Passenger,
Portugal,Faro,Faro Airport,Passenger,
Portugal,Funchal,Madeira Airport,Passenger,[5][65]
Portugal,Lisbon,Lisbon Airport,Passenger,
Portugal,Porto,Porto Airport,Passenger,[52]
Portugal,Porto Santo,Porto Santo Airport,Terminated,[5]
Puerto Rico (U.S.),San Juan,Luis Muñoz Marín International Airport,Terminated,[66][67]
Qatar,Doha,Hamad International Airport,Passenger,[68]
Romania,Bucharest,Henri Coandă International Airport,Passenger,
Russia,Moscow,Domodedovo International Airport,Passenger,[69]
Russia,Moscow,Sheremetyevo International Airport,Passenger,[69][70]
Russia,Saint Petersburg,Pulkovo Airport,Terminated,[71]
Saint Kitts and Nevis,Basseterre,Robert L. Bradshaw International Airport,Passenger,
Saint Lucia,Vieux Fort,Hewanorra International Airport,Passenger,
Saudi Arabia,Dammam,King Fahd International Airport,Passenger,[8][72]
Saudi Arabia,Dhahran,Dhahran International Airport,Airport Closed,[5]
Saudi Arabia,Jeddah,King Abdulaziz International Airport,Passenger,
Saudi Arabia,Riyadh,King Khalid International Airport,Passenger,
Serbia,Belgrade,Belgrade Nikola Tesla Airport,Terminated,[5]
Seychelles,Mahé,Seychelles International Airport,Passenger,[73]
Sierra Leone,Freetown,Lungi International Airport,Terminated,[49]
Singapore,Singapore,Singapore Changi Airport,Passenger,
Slovakia,Bratislava,Bratislava Airport,Terminated,[4]:60
Slovenia,Ljubljana,Ljubljana Jože Pučnik Airport,Seasonal,[74]
South Africa,Cape Town,Cape Town International Airport,Passenger,
South Africa,Durban,King Shaka International Airport,Passenger,[75]
South Africa,Hoedspruit,Eastgate Airport,Terminated,[5]
South Africa,Johannesburg,O. R. Tambo International Airport,Passenger + Cargo,[8]
South Africa,Port Elizabeth,Port Elizabeth Airport,Terminated,[5]
South Africa,Richards Bay,Richards Bay Airport,Terminated,[5]
South Korea,Seoul,Incheon International Airport,Passenger,[76][77]
Spain,Alicante,Alicante–Elche Airport,Passenger,[6][78]
Spain,Barcelona,Barcelona–El Prat Airport,Passenger,
Spain,Bilbao,Bilbao Airport,Passenger,[79]
Spain,Ibiza,Ibiza Airport,Seasonal,
Spain,Jerez de la Frontera,Jerez Airport,Terminated,[5]
Spain,Lanzarote,Lanzarote Airport,Passenger,[80][81]
Spain,Las Palmas,Gran Canaria Airport,Seasonal,[82]
Spain,Madrid,Adolfo Suárez Madrid–Barajas Airport,Passenger + Cargo,[8]
Spain,Málaga,Málaga Airport,Passenger,
Spain,Menorca,Menorca Airport,Seasonal,[41]
Spain,Murcia,Murcia–San Javier Airport,Terminated,[5][17]
Spain,Palma de Mallorca,Palma de Mallorca Airport,Passenger,
Spain,Tenerife,Tenerife South Airport,Passenger,
Spain,Valencia,Valencia Airport,Passenger,[83]
Spain,Zaragoza,Zaragoza Airport,Terminated,[8]
Sri Lanka,Colombo,Bandaranaike International Airport,Terminated,[84][85]
Sudan,Khartoum,Khartoum International Airport,Terminated,[21]
Sweden,Gothenburg,Göteborg Landvetter Airport,Passenger,
Sweden,Helsingborg,Ängelholm-Helsingborg Airport,Terminated,[4]:60
Sweden,Malmö,Malmö Airport,Terminated,[4]:60
Sweden,Norrköping,Norrköping Airport,Terminated,[4]:60
Sweden,Stockholm,Stockholm Arlanda Airport,Passenger,
Switzerland,Bern,Bern Airport,Terminated,[42]:99
Switzerland,Geneva,Geneva Airport,Passenger,
Switzerland,Lugano,Lugano Airport,Terminated,[4]:60
Switzerland,Zürich,Zurich Airport,Passenger,
SwitzerlandFranceGermany,BaselMulhouseFreiburg,EuroAirport Basel Mulhouse Freiburg,Passenger,
Syria,Damascus,Damascus International Airport,Terminated,[5]
Taiwan,Taipei,Taiwan Taoyuan International Airport,Terminated,[5]
Tanzania,Dar es Salaam,Julius Nyerere International Airport,Terminated,[86]
Thailand,Bangkok,Suvarnabhumi Airport,Passenger,
Trinidad and Tobago,Port of Spain,Piarco International Airport,Passenger,
Trinidad and Tobago,Scarborough,Arthur Napoleon Raymond Robinson International Airport,Passenger,
Tunisia,Tunis,Tunis–Carthage International Airport,Passenger,
Turkey,Ankara,Esenboğa International Airport,Terminated,[21]
Turkey,Antalya,Antalya Airport,Begins 30 April 2020,[87]
Turkey,Bodrum,Milas–Bodrum Airport,Seasonal,[88]
Turkey,Dalaman,Dalaman Airport,Seasonal,[88]
Turkey,Istanbul,Istanbul Airport,Passenger,
Turkey,Istanbul,Istanbul Atatürk Airport,Terminated,
Turkey,Izmir,İzmir Adnan Menderes Airport,Terminated,[89]
Turkmenistan,Ashgabat,Ashgabat International Airport,Terminated,[4]:60
Turks and Caicos Islands,Providenciales,Providenciales International Airport,Passenger,
Uganda,Entebbe,Entebbe International Airport,Terminated,[46]
Ukraine,Kiev,Boryspil International Airport,Terminated,[71]
United Arab Emirates,Abu Dhabi,Abu Dhabi International Airport,Passenger,
United Arab Emirates,Dubai,Dubai International Airport,Passenger + Cargo,[8]
United Kingdom,Aberdeen,Aberdeen Airport,Passenger,
United Kingdom,Barra,Barra Airport,Terminated,[5]
United Kingdom,Belfast,George Best Belfast City Airport,Passenger,
United Kingdom,Benbecula,Benbecula Airport,Terminated,[5]
United Kingdom,Birmingham,Birmingham Airport,Seasonal,[5][90]
United Kingdom,Blackpool,Blackpool International Airport,Terminated,[4]:60
United Kingdom,Bournemouth,Bournemouth Airport,Terminated,[42]:99
United Kingdom,Bristol,Bristol Airport,Terminated,[5]
United Kingdom,Campbeltown,Campbeltown Airport,Terminated,[5]
United Kingdom,Cardiff,Cardiff Airport,Terminated,[5]
United Kingdom,Derry[a],Londonderry Airport,Terminated,[5]
United Kingdom,East Midlands,East Midlands Airport,Terminated,[4]:60
United Kingdom,Eday,Eday Airport,Terminated,[4]:60
United Kingdom,Edinburgh,Edinburgh Airport,Passenger,
United Kingdom,Exeter,Exeter International Airport,Terminated,[42]:99
United Kingdom,Fair Isle,Fair Isle Airport,Terminated,[5]
United Kingdom,Glasgow,Glasgow Airport,Passenger,
United Kingdom,Inverness,Inverness Airport,Passenger,[91]
United Kingdom,Islay,Islay Airport,Terminated,[5]
United Kingdom,Kirkwall,Kirkwall Airport,Terminated,[5]
United Kingdom,Leeds,Leeds Bradford International Airport,Terminated,[92][93]
United Kingdom,Liverpool,Liverpool John Lennon Airport,Terminated,[5]
United Kingdom,London,London City Airport,Terminated,[94]
United Kingdom,London,London Gatwick International Airport,Hub,
United Kingdom,London,London Heathrow International Airport,Hub,
United Kingdom,London,London Luton Airport,Terminated,[5]
United Kingdom,London,London Stansted Airport,Terminated,[8]
United Kingdom,Manchester,Manchester Airport,Passenger,
United Kingdom,Newcastle upon Tyne,Newcastle Airport,Passenger,
United Kingdom,Newquay,Newquay Cornwall Airport,Passenger,[5][95]
United Kingdom,North Ronaldsay,North Ronaldsay Airport,Terminated,[5]
United Kingdom,Norwich,Norwich International Airport,Terminated,[4]:60
United Kingdom,Papa Westray,Papa Westray Airport,Terminated,[5]
United Kingdom,Plymouth,Plymouth City Airport,Terminated,[5]
United Kingdom,Sanday,Sanday Airport,Terminated,[5]
United Kingdom,Shetland Islands,Sumburgh Airport,Terminated,[5]
United Kingdom,Southampton,Southampton Airport,Terminated,[5]
United Kingdom,Stornoway,Stornoway Airport,Terminated,[5]
United Kingdom,Stronsay,Stronsay Airport,Terminated,[5]
United Kingdom,Teesside,Teesside International Airport,Terminated,[4]:60
United Kingdom,Tiree,Tiree Airport,Terminated,[5]
United Kingdom,Westray,Westray Airport,Terminated,[5]
United Kingdom,Wick,Wick Airport,Terminated,[5]
United States,Atlanta,Hartsfield–Jackson Atlanta International Airport,Passenger + Cargo,[8]
United States,Austin,Austin-Bergstrom International Airport,Passenger,[96]
United States,Baltimore,Baltimore–Washington International Airport,Passenger,[97]
United States,Boston,Logan International Airport,Passenger,
United States,Charleston,Charleston International Airport,Passenger,[98][99]
United States,Charlotte,Charlotte Douglas International Airport,Terminated,[5]
United States,Chicago,Chicago O'Hare International Airport,Passenger + Cargo,[8]
United States,Dallas,Dallas/Fort Worth International Airport,Passenger,
United States,Denver,Denver International Airport,Passenger,
United States,Detroit,Detroit Metropolitan Airport,Terminated,[5]
United States,Fort Lauderdale,Fort Lauderdale–Hollywood International Airport,Terminated,[100][101]
United States,Houston,George Bush Intercontinental Airport,Passenger + Cargo,[8]
United States,Las Vegas,McCarran International Airport,Passenger,
United States,Los Angeles,Los Angeles International Airport,Passenger,
United States,Miami,Miami International Airport,Passenger,
United States,Nashville,Nashville International Airport,Passenger,[102]
United States,New Orleans,Louis Armstrong New Orleans International Airport,Passenger,[103][104]
United States,Newark,Newark Liberty International Airport,Passenger,
United States,New York City,John F. Kennedy International Airport,Passenger,
United States,Oakland,Oakland International Airport,Terminated,[105][106]
United States,Orlando,Orlando International Airport,Passenger,
United States,Philadelphia,Philadelphia International Airport,Passenger,
United States,Phoenix,Phoenix Sky Harbor International Airport,Passenger,[107]
United States,Pittsburgh,Pittsburgh International Airport,Passenger,[5][108]
United States,San Diego,San Diego International Airport,Passenger,
United States,San Francisco,San Francisco International Airport,Passenger,
United States,San Jose,San Jose International Airport,Passenger,[109]
United States,Seattle,Seattle–Tacoma International Airport,Passenger,
United States,Tampa,Tampa International Airport,Passenger,
United States,"Washington, D.C.",Washington Dulles International Airport,Passenger,
Uzbekistan,Tashkent,Tashkent International Airport,Terminated,[4]:60
Venezuela,Caracas,Simón Bolívar International Airport,Terminated,[5]
Zambia,Lusaka,Lusaka International Airport,Terminated,[110][111]
Zimbabwe,Harare,Harare International Airport,Terminated,[5]
Zimbabwe,Victoria Falls,Victoria Falls Airport,Terminated,[5]
