Country,City,Airport,Notes,Refs
Russia,Saint Petersburg,Pulkovo Airport,Suspended,[2]
Saudi Arabia,Dammam,King Fahd International Airport,Suspended,[2]
Saudi Arabia,Jeddah,King Abdulaziz International Airport,Suspended,[2]
Saudi Arabia,Medina,Prince Mohammad Bin Abdulaziz International Airport,Suspended,[2]
Saudi Arabia,Riyadh,King Khalid International Airport,Suspended,[2]
Senegal,Dakar,Blaise Diagne International Airport,Suspended,[2]
Senegal,Dakar,Léopold Sédar Senghor International Airport,Terminated,[2]
Seychelles,Mahé,Seychelles International Airport,,[2]
Singapore,Singapore,Singapore Changi International Airport,,[2]
South Africa,Cape Town,Cape Town International Airport,Suspended,[2]
South Africa,Durban,King Shaka International Airport,Suspended,[2]
South Africa,Johannesburg,O. R. Tambo International Airport,Suspended,[2]
South Korea,Seoul,Incheon International Airport,,[2]
Spain,Barcelona,Barcelona–El Prat Airport,,[2]
Spain,Madrid,Adolfo Suárez Madrid–Barajas Airport,,[2]
Sri Lanka,Colombo,Bandaranaike International Airport,,[2]
Sudan,Khartoum,Khartoum International Airport,,[2]
Sweden,Stockholm,Stockholm Arlanda Airport,,[43]
Switzerland,Geneva,Geneva Airport,,[2]
Switzerland,Zürich,Zürich Airport,,[2]
Syria,Damascus,Damascus International Airport,Terminated,[44]
Taiwan,Taipei,Taipei Taoyuan International Airport,,[45]
Tanzania,Dar es Salaam,Julius Nyerere International Airport,,[2]
Thailand,Bangkok,Suvarnabhumi International Airport,Suspended,[2]
Thailand,Phuket,Phuket International Airport,Suspended,[46]
Tunisia,Tunis,Tunis–Carthage International Airport,,[2][30]
Turkey,Istanbul,Istanbul Arnavutköy International Airport,Suspended,[2]
Turkey,Istanbul,Istanbul Atatürk International Airport,Airport Closed,[2]
Turkey,Istanbul,Istanbul Sabiha Gökçen International Airport,Suspended,[47]
Uganda,Kampala,Entebbe International Airport,Suspended,[2]
Ukraine,Kiev,Boryspil International Airport,Terminated,[2][30]
United Arab Emirates,Abu Dhabi,Abu Dhabi International Airport,Terminated,[3][48]
United Arab Emirates,Dubai,Dubai International Airport,Hub,[2]
United Kingdom,Birmingham,Birmingham Airport,,[2]
United Kingdom,Edinburgh,Edinburgh Airport,Suspended,[49]
United Kingdom,Glasgow,Glasgow Airport,,[2]
United Kingdom,London,Gatwick Airport,Suspended,[2]
United Kingdom,London,Heathrow Airport,,[2]
United Kingdom,London,London Stansted Airport,Suspended,[50]
United Kingdom,Manchester,Manchester Airport,,[2]
United Kingdom,Newcastle upon Tyne,Newcastle International Airport,Suspended,[2]
United States,Boston,Boston Logan International Airport,,[51]
United States,Chicago,Chicago O'Hare International Airport,,[52]
United States,Dallas,Dallas/Fort Worth International Airport,Suspended,[53]
United States,Fort Lauderdale,Fort Lauderdale–Hollywood International Airport,Terminated,[54][9]
United States,Houston,George Bush Intercontinental Airport,,[2]
United States,Los Angeles,Los Angeles International Airport,,[2][30]
United States,Newark,Newark Liberty International Airport,Suspended,[55]
United States,New York City,John F. Kennedy International Airport,,[2]
United States,Orlando,Orlando International Airport,Suspended,[56]
United States,San Francisco,San Francisco International Airport,Suspended,[2]
United States,Seattle,Seattle–Tacoma International Airport,Suspended,[53]
United States,"Washington, D.C.",Washington Dulles International Airport,,[57]
Vietnam,Hanoi,Noi Bai International Airport,,[33]
Vietnam,Ho Chi Minh City,Tan Son Nhat International Airport,,[58]
Yemen,Sana'a,Sana'a International Airport,Terminated,[2]
Zambia,Lusaka,Kenneth Kaunda International Airport,Suspended,[59]
Zimbabwe,Harare,Robert Gabriel Mugabe International Airport,Suspended,[59]
